date,title,ID
10/22/2018 21:21,JSW breaks ground on Baytown expansion  ,0
10/22/2018 21:14,US steel production slips on week  ,1
10/22/2018 17:04,Evraz mulls rail investment in US ,2
10/22/2018 17:02,Bank questions Pakistan steel sector profitability post expansion ,3
10/22/2018 16:43,Imidro chairman steps down ,4
10/22/2018 16:39,Pressure builds on CIS HRC ,5
10/22/2018 16:23,India initiates China-origin DI pipe anti-dumping sunset review ,6
10/22/2018 16:21,Universal raises longs base prices  ,7
10/22/2018 16:06,Ukraine's iron ore output and export slip ,8
10/22/2018 16:05,"SA, Sweden supply drives Turkish ore import growth ",9
10/22/2018 16:01,US plate prices lose momentum  ,10
10/22/2018 15:53,Steel firms on output cuts ,11
10/22/2018 15:50,US sheet buyers adopt wait-and-see attitude  ,12
10/22/2018 15:36,Iron ore jumps on strong steel market ,13
10/22/2018 15:26,MinRes to buy Kumina ,14
10/22/2018 15:24,Severstal hot tests upgraded No.4 coke oven battery ,15
10/22/2018 15:19,thyssenkrupp declares force majeure on low water levels ,16
10/22/2018 13:46,EU September car registrations fall to record low ,17
10/22/2018 12:00,Italian pig iron remains stable despite uncertainty ,18
10/22/2018 10:28,Chile's AZA set to increase revenue in 2018 ,19
10/22/2018 10:26,Hebei's Handan details winter output restrictions ,20
10/22/2018 9:05,Brazil's steel imports continue growing in September ,21
10/22/2018 8:31,Brazil increases steel output in September ,22
10/22/2018 6:29,Chinese longs offers rebound in late October ,23
10/22/2018 5:31,"Baotou Steel shifts assets, debts to subsidiary ",24
10/22/2018 4:46,Chinese steelmakers to auction steel capacity ,25
10/22/2018 3:47,Posco commissions super-thick slab mill ,26
10/21/2018 13:14,Tata Steel Europe continues towards carbon-neutral steelmaking ,27
10/21/2018 9:52,ArcelorMittal becomes preferred bidder for Essar Steel India ,28
10/20/2018 16:13,Unclear outlook keeps Turkish HRC market weak  ,29
10/20/2018 14:22,Italian distributors welcome domestic steel sector reorganisation ,30
10/19/2018 20:01,US OCTG prices hold firm  ,31
10/19/2018 19:56,SDI lauds increased clarity due to USMCA ,32
10/19/2018 19:48,"US rigs rise 4, Canada down 4 ",33
10/19/2018 17:58,CIS slab price descent slows ,34
10/19/2018 17:20,Upward pressure on wire rod follows 232 tariffs ,35
10/19/2018 16:51,German foreign trade in scrap sees first-half dip ,36
10/19/2018 16:31,Europe looks at three-year steel trade safeguard measures  ,37
10/19/2018 16:17,JSW Koks secures funds to modernise coke battery ,38
10/19/2018 16:01,Iron ore slips on Chinese economic concerns ,39
10/19/2018 15:49,German industry meets ministers for steel summit ,40
10/19/2018 15:47,CIS billet prices continue to adjust down ,41
10/19/2018 15:14,NW European coil prices sleep awaiting Euroblech ,42
10/19/2018 15:11,"Nucor calls 232 actions ""... tailwind"" to overall performance ",43
10/19/2018 14:58,"Chinese steel output, demand strengthen but winter coming ",44
10/19/2018 14:37,Acerinox conference highlights Industry 4.0 developments ,45
10/19/2018 14:08,ERP Iron Ore sells assets for $21.8m ,46
10/19/2018 13:52,"Saudi iron ore, DRI imports drop in July ",47
10/19/2018 13:46,Cleveland-Cliffs sees nine-fold third-quarter profit increase ,48
10/19/2018 13:45,"Severstal's third-quarter results reflect lower demand, prices ",49
10/19/2018 13:25,ArcelorMittal restarts partial coke production at AvilÃ©s ,50
10/19/2018 13:22,Turkish steel output slumps in September ,51
10/19/2018 11:50,European stainless tube prices take another hit ,52
10/19/2018 11:26,Chinese real estate sales show signs of weakness ,53
10/19/2018 11:20,BlueScope blocks Fletcherâ€™s New Zealand acquisition ,54
10/19/2018 10:52,CSN creates metals manufacturing cluster in Volta Redonda ,55
10/19/2018 10:45,China's HRC market falls on weak demand ,56
10/19/2018 10:36,Italian merchant bars prices waver as sales dip ,57
10/19/2018 10:17,Chinese rebar continues to recover ,58
10/19/2018 10:09,Billet market softens in SE Asia ,59
10/19/2018 9:48,Renault boosts vehicle output in China ,60
10/19/2018 9:07,Vietnamese HRC prices plummet further ,61
10/19/2018 4:59,Tangshan increases production restrictions ,62
10/19/2018 4:40,Liugang Fangchenggang restarts cold rolling mill ,63
10/19/2018 4:01,China's Jiangsu to cut steel capacity by 2020 ,64
10/18/2018 20:29,Steel Dynamics sees steel strength lasting into 2019  ,65
10/18/2018 20:20,Canada finds evidence of welded pipe dumping  ,66
10/18/2018 19:36,SDI plans Kentucky Electric restart  ,67
10/18/2018 19:11,ATI to roll NLMK slabs in Brackenridge  ,68
10/18/2018 17:08,Nucor sets sights on record 2018 profits  ,69
10/18/2018 16:44,ArcelorMittal issues third-quarter analyst Ebitda consensus ,70
10/18/2018 16:42,"Turkish scrap impasse deepens, rebar mills eye US ",71
10/18/2018 16:37,Waterway bottlenecks cause scrap price hikes in Germany  ,72
10/18/2018 16:29,Insteel posts earnings gains in fiscal Q4 ,73
10/18/2018 15:52,Energoprom becomes EPM ,74
10/18/2018 15:52,Output fears hit Chinese steel despite inventory drop ,75
10/18/2018 15:46,Iron ore stays strong on demand hopes ,76
10/18/2018 15:09,Global Pipe Company bags further Aramco order ,77
10/18/2018 14:49,Former Mobarakeh chief joins steel holding company ,78
10/18/2018 14:46,Argentina steel production costs rise in September ,79
10/18/2018 14:32,Ovako balances hikes and falls in November surcharges ,80
10/18/2018 14:03,Chinese ship plates gain Korean market share ,81
10/18/2018 12:29,Singapore rebar import market weakens ,82
10/18/2018 11:44,Russian finished steel output stagnates in September ,83
10/18/2018 11:26,"Russia, Slovakia supply lifts Polish HR flats imports ",84
10/18/2018 11:06,Argentina crude steel production growth slows in September ,85
10/18/2018 10:56,Izhstal ramps up exports ,86
10/18/2018 10:31,Saudi flats imports slump again in July ,87
10/18/2018 10:25,NSSMC/Ternium amend shareholder agreement on Usiminas management ,88
10/18/2018 10:20,China's wire rod exports slump after brief recovery ,89
10/18/2018 10:15,Italian rebar prices flatten ,90
10/18/2018 9:23,Magang orders Danieli bloom caster ,91
10/18/2018 9:16,Brazil`s CSP increases slab exports year-to-date ,92
10/18/2018 8:34,thyssenkrupp revises strategic thinking on Italy's AST ,93
10/18/2018 8:29,Vietnam's Formosa Ha Tinh slashes HRC prices ,94
10/18/2018 6:44,China makes additional funds available for PPP projects ,95
10/18/2018 6:01,Chinese HRC mills plan slight increase in output ,96
10/18/2018 5:34,China's Kungang to relocate in 2019 ,97
10/17/2018 18:28,"Canada approves tariff exemptions, Mexico considers quotas ",98
10/17/2018 17:58,US market expects big third quarter profits  ,99
10/17/2018 17:39,US scrap prices hold the line  ,100
10/17/2018 16:44,NMDC cumulative iron ore production/sales remain well down ,101
10/17/2018 16:04,German scrap sector flourishes in first-half 2018 ,102
10/17/2018 16:00,"Spain, Bangladesh demand lift Saudi HR flats exports ",103
10/17/2018 15:12,Chinese steel surges while SHFE tweaks contracts ,104
10/17/2018 15:10,"Indian demand growth shrugs off demonetisation, GST ",105
10/17/2018 15:06,Metalloinvest may add HBI to sales to ChelPipe ,106
10/17/2018 13:38,Brazil begins cold-rolled stainless steel AD duties' review ,107
10/17/2018 13:14,Fire impacts ArcelorMittal coke production plant in Spain ,108
10/17/2018 13:07,ArcelorMittal clears India debts to validate Essar bid ,109
10/17/2018 12:42,Slab import market slips further in East Asia ,110
10/17/2018 12:25,Finnish radiation authority highlights incidents at Outokumpu  ,111
10/17/2018 12:03,"Higher-grade requirement, Chinese demand seen boosting Indian pellet-makers ",112
10/17/2018 11:41,MMK Metalurji targets exports as domestic sales fall ,113
10/17/2018 11:34,Italian stainless scrap to decline again in November ,114
10/17/2018 11:15,Anglo American nears Brazil iron ore mining resumption ,115
10/17/2018 10:45,Taiwanese container scrap dips ,116
10/17/2018 10:26,Samarco to resume partial operations in 2020 ,117
10/17/2018 10:17,Italian scrap values may fall again ,118
10/17/2018 8:14,China's railway fixed asset investment continues to rise ,119
10/17/2018 7:50,ArcelorMittal Kryvyi Rih continues sinter plant modernisation ,120
10/17/2018 7:22,Falling exports drag down Japanese steel orders ,121
10/17/2018 6:59,Beihai Chengde to commission stainless sheet rolling line ,122
10/17/2018 6:32,Chinese shipbuilding completions narrow on-year gap ,123
10/17/2018 6:15,Chinese steelmakers halt hot rolled steel output ,124
10/17/2018 6:03,Asean steelmakers should focus on service and demand ,125
10/17/2018 5:35,Posco to commission colour-coated line ,126
10/16/2018 20:54,Rio Tinto sees iron ore production/sales dip year-on-year ,127
10/16/2018 20:25,Material Sciences Corporation joins steel purchasing collective  ,128
10/16/2018 20:01,Lighter Turkish tariffs could push rebar prices down ,129
10/16/2018 17:32,"USW, US Steel deal fails to surprise market ",130
10/16/2018 17:14,Credit Suisse downgrades US steel sector ,131
10/16/2018 17:04,RINL increases round bar price ,132
10/16/2018 16:59,"Kardemir finds buyers following rebar, billet price reduction ",133
10/16/2018 16:53,"Chinese steel, iron ore weigh restriction expectations ",134
10/16/2018 15:42,MMK ramps up third-quarter sales ,135
10/16/2018 15:18,Emirates Steel reduces rebar quote ,136
10/16/2018 14:48,Expenses curtail Jazeera profit growth despite healthy sales ,137
10/16/2018 14:39,Iranian half-year-through-September iron ore production grows ,138
10/16/2018 12:12,Tubos Reinudos appoints new chairman ,139
10/16/2018 11:32,Turkish demand seen partially recovering in 2019 ,140
10/16/2018 11:31,Italian coil weakens on low demand ,141
10/16/2018 11:21,Worldsteel revises down MENA demand growth forecast ,142
10/16/2018 11:14,worldsteel downgrades Latin American  steel demand outlook ,143
10/16/2018 11:11,Italian plate prices weaken in uncertain market ,144
10/16/2018 11:06,Port of Antwerp boosts nine-month steel throughput ,145
10/16/2018 10:58,"Saudi billet exports slow in July, rebar surges ",146
10/16/2018 10:42,European scrap import and export prices steady ,147
10/16/2018 9:20,Fujian to establish two major steel industry clusters ,148
10/16/2018 8:39,Chinese steel companies anticipate positive third quarter results ,149
10/16/2018 8:38,German machine tool industry capacity approaches its limit ,150
10/16/2018 7:12,Baotou Steel hikes imports and exports year-to-date ,151
10/16/2018 6:47,Handan to remove more iron/steel capacity by 2020 ,152
10/16/2018 5:40,Meiya Steel adds two EAFs in Sichuan ,153
10/16/2018 4:00,"Liberty remains acquisitive, looking at Asia ",154
10/16/2018 1:52,Gerdau to take over worldsteel presidency ,155
10/16/2018 1:38,worldsteel more than doubles demand growth forecasts ,156
10/15/2018 22:06,US raw steel production rises ,157
10/15/2018 22:01,"USW, US Steel agree to tentative labour contract  ",158
10/15/2018 19:12,US ITC to begin USMCA assessment  ,159
10/15/2018 18:41,US manufacturers seek relief from section 301 tariffs ,160
10/15/2018 16:57,US plate pricing remains flat  ,161
10/15/2018 16:52,US sheet price hikes settle into market ,162
10/15/2018 16:10,NLMK's Q3 sales rise on exports ,163
10/15/2018 15:55,Iron ore flat as Atlas appoints new board ,164
10/15/2018 14:55,EU automotive drag on galv demand seen short-lived ,165
